Person,Responsibility,imdbID
Gary Kanew,screenplay by,tt1655461
Gary Kanew,story by,tt1655461
EJ Caillouet,creator,tt1835919
Brandon Johnson,developer,tt1835919
Mat Koehler,developer,tt1835919
Sidney Smith,cartoon,tt0174275
Chris Jones,story,tt1709132
Sarah LaPenna,story,tt1709132
Matt Onheiber,story,tt1709132
Gerald Beaumont,story,tt0017013
Paul Schofield,scenario,tt0017013
George Marion Jr.,titles,tt0017013
Michel Boujut,novel,tt0097893
I.A.R. Wylie,novel,tt0016073
Fred Karno,sketch,tt2081152
Luuk Bouwman,scenario,tt6516552
Maurice Sendak,libretto,tt1674225
Kenneth Grahame,book,tt0120005
John McDermott,story,tt0018887
John W. Kellette,scenario,tt0004800
Michael McClendon,screenplay,tt2144820
Jackie Carpenter,novel,tt2144820
Marco Lorenzetti,story,tt3117772
Peter B. Kyne,novel,tt0023000
Basil Dickey,continuity,tt0023000
George H. Plympton,continuity,tt0023000
Ella O'Neill,adaptation,tt0023000
Roland Gotjé,story,tt1605065
Patrick C. Johnson,story,tt5646616
Sean Johnson,screenplay,tt5646616
Sean Johnson,story,tt5646616
Douglas Weiss,screenplay,tt5646616
Douglas Weiss,story,tt5646616
Ron Nelson,story,tt5863634
Teena Booth,teleplay,tt5863634
Alan Marc Levy,teleplay,tt5863634
María del Carmen Martínez Román,Spanish version,tt0061451
Harry Alan Towers,english version,tt0061451
Bob Kane,characters,tt3156558
Ethan J. Greene,story,tt1998234
Ethan J. Greene,written/improvised by,tt1998234
Lily Read,written/improvised by,tt1998234
Satoru Hiura,manga,tt2013233
Mark Swan,story,tt1448505
Parker Aultman,story,tt5152582
Clint Till,story,tt5152582
Raymond L. Schrock,original screen play,tt0031908
W.H. Moran,based upon material compiled by: ex-chief of U.S. Secret Service,tt0031908
Janine Turner,screenplay,tt0449660
Jon Lee Brody,concept,tt1494816
Phil Tyler,concept,tt1494816
Guy Crawford,screenplay,tt0306496
Tamarie Hargrove,screenplay,tt0306496
John Scott Mills,screenplay,tt0306496
John McCrae,poem,tt0226021
James E. McLarty,screenplay,tt0066553
George E. Carey,original story,tt0066553
Don Henderson,original story,tt0066553
Andrzej Kondratiuk,script,tt0085246
John Alderman,screenplay,tt0137527
Harold Lime,screenplay,tt0137527
Glenn Bunn,creator,tt3269580
Lee Carter,creator,tt3269580
Saxon Cave-Berry,creator,tt3269580
Tom Ladds,creator,tt3269580
Carl Merz,by,tt0388324
John B. Clymer,story,tt0029649
Joseph O'Donnell,screenplay,tt0029649
Stanley Roberts,screenplay,tt0029649
Kim Dyer,radio segment writer,tt2448880
Michael Winerip,"New York Times article ""Essays in Search of Happy Endings""",tt1056477
Misha Mazzini Griffith,researcher,tt3539478
Peter Young,story adapted by,tt0091149
Vance Gerry,story adapted by,tt0091149
Steve Hulett,story adapted by,tt0091149
Ron Clements,story adapted by,tt0091149
John Musker,story adapted by,tt0091149
Bruce Morris,story adapted by,tt0091149
Matthew O'Callaghan,story adapted by,tt0091149
Burny Mattinson,story adapted by,tt0091149
David Michener,story adapted by,tt0091149
Mel Shaw,story adapted by,tt0091149
Eve Titus,"based on ""Basil Of Baker Street""",tt0091149
Paul Galdone,"based on ""Basil Of Baker Street""",tt0091149
Agnes Christine Johnston,scenario,tt0496896
Earl Derr Biggers,novel,tt0019684
George Middleton,adaptation,tt0019684
George Clinton,screenplay,tt6350288
Julius J. Epstein,screenplay,tt0050599
Luther Davis,play,tt0050599
Frederic Wakeman,novel,tt0050599
Joseph Hergesheimer,by,tt0015498
King Vidor,adapted by,tt0015498
Tom Miranda,titles,tt0015498
Nicola Manzari,screenplay,tt0045245
Nicola Manzari,story,tt0045245
Karsten Fullu,screenplay,tt1245891
Erlend Loe,books,tt1245891
Per Schreiner,screenplay,tt1245891
Lou Breslow,screenplay,tt0044390
Lou Breslow,story,tt0044390
Bill Mauldin,book,tt0044390
Don McGuire,screenplay,tt0044390
Don McGuire,story,tt0044390
Laura Lamson,screenplay,tt0408832
Martin Sperr,play,tt0064507
Peter Fleischmann,screenplay,tt0064507
Dimitris Bogris,play,tt0140315
Dimitris Bogris,screenplay,tt0140315
Marneen Fields,script writer,tt4689758
George Herriman,comic strip,tt0153739
Yusuf Khan,story,tt5970378
Brody Hawkins,screenplay,tt4846630
Matt Lishman,story,tt4846630
Garrett Ryan,comic book,tt4846630
Garrett Ryan,screenplay,tt4846630
Evelyn Campbell,story,tt0208256
John Ford,story,tt0208256
H. Tipton Steck,scenario,tt0208256
Charles Parker,script,tt4949952
Barbara Cappi,story,tt0178233
Marcello Cesena,story,tt0178233
Dario Piana,story,tt0178233
Bianca Maria Vaglio,story,tt0178233
Jami,story,tt5152462
Ali Nazira,story,tt5152462
Arvid E. Gillstrom,story,tt0467028
Arthur L. Jarrett,story,tt0910895
Paul Coppack,story,tt0823685
Keir Knowles,dialogue,tt0823685
Chris McNulty,additional material,tt0823685
Frederick Hazlitt Brennan,screenplay,tt0033011
Lou Breslow,additional dialogue,tt0033011
Owen Francis,additional dialogue,tt0033011
Frank Wead,original story,tt0033011
Gennadi Golovin,book,tt0309286
Gennadi Golovin,screenplay,tt0309286
Ester Krumbachová,screenplay,tt0063371
Ester Krumbachová,story,tt0063371
Henry James,novel,tt4690052
Anirudh Menon,dialogue,tt4345910
Anirudh Menon,screenplay,tt4345910
Anirudh Menon,story,tt4345910
Saurabh Santosh,dialogue,tt4345910
Pranay Suryavanshi,dialogue,tt4345910
Jean-Claude La Marre,story,tt0462308
Kira Madallo Sesay,story,tt0462308
Joyce James,original screenplay,tt0153773
Carter Stevens,original screenplay,tt0153773
Anton Haakman,screenplay,tt0127925
Jurriën Rood,screenplay,tt0127925
Cherry Duyns,screenplay,tt0127925
Pieter Verhoeff,screenplay,tt0127925
John W. Krafft,dialogue,tt0030763
John W. Krafft,screenplay,tt0030763
Gertrude Orr,dialogue,tt0030763
Gertrude Orr,screenplay,tt0030763
Madeline Woods,novel,tt0030763
Louis Weitzenkorn,based on the play by,tt0021873
Byron Morgan,screen play,tt0021873
Robert Lord,adaptation,tt0021873
Terran Gregory,screenplay,tt0433639
Dena Seidel,story,tt2780714
Benedict Fitzgerald,screenplay,tt0335345
Mel Gibson,screenplay,tt0335345
Christian Gavin,screenplay,tt2023379
I.A.R. Wylie,novel,tt0325493
Jack Mayer,screenplay,tt1625020
Jack Mayer,story,tt1625020
Parthiban Shanmugam,screenplay,tt4581030
Duck Dumont,screenplay,tt0127846
Lana Lowe,screenplay,tt0127846
Erskine Caldwell,based on the novel by,tt0034297
Jack Kirkland,stage play,tt0034297
Nunnally Johnson,screenplay,tt0034297
Dana Sink,story,tt3656282
Ben Affleck,screenplay,tt0452623
Aaron Stockard,screenplay,tt0452623
Dennis Lehane,novel,tt0452623
Daniel Kusell,play,tt0025630
S.K. Lauren,screenplay,tt0025630
Marie Winn,book,tt1473440
Will Glickman,play,tt5182820
Joseph Stein,play,tt5182820
Seth Grahame-Smith,novel,tt2396396
Javier Soto,screenplay,tt2396396
Frederick Opper,comic strip,tt0472809
