Person,Responsibility,imdbID
Maria L. De Ossio,story,tt0078025
Richard A. Colla,story,tt0078025
Eugene Poinc,story,tt0078025
Earl Montgomery,story,tt1175668
Joe Rock,story,tt1175668
Reijo Mäki,novel,tt1836210
Katariina Souri,screenplay,tt1836210
Greg Prevost,screenplay,tt0782161
Frank Buck,based on the fanous book by,tt0025991
Edward Anthony,based on the fanous book by,tt0025991
Courtney Ryley Cooper,dialogue and narration by: told by Franl Buc,tt0025991
Takeo Katô,story,tt0472303
Scott Hutcheson,story,tt1540101
Kristen Akers Gozdecki,additional writing,tt2476898
William Pigott,story,tt0004666
Stanley Goulder,commentary writer,tt3407980
Homer Crowy,story,tt0030077
Frank Fenton,story,tt0030077
Lynn Root,story,tt0030077
Eddie Lyons,story,tt0334716
Lee Moran,story,tt0334716
Frederick Palmer,scenario,tt0334716
Wallace Clifton,scenario,tt0010401
Lorin Andrews Lathrop,story,tt0010401
Michael Fox,screenplay,tt1704572
George W. George,story,tt0042442
Orville H. Hampton,screenplay,tt0042442
George F. Slavin,story,tt0042442
Howard Irving Young,story,tt0844732
M. Kelley,segment,tt2084984
Shawn C. Phillips,segment,tt2084984
Doug Waugh,segment,tt2084984
Steve Maher,original concept,tt3199240
Cristi Andrews,story,tt1733422
David Oliver Cohen,story,tt1733422
Julian Adams,story,tt0339743
Julian Adams,screenplay,tt0339743
Weston Adams,story,tt0339743
Joshua Lindsey,screenwriter,tt0339743
Gwendolyn Edwards,screenwriter,tt0339743
Daniel Dominguez,written and created by,tt3348834
Joe Gressis,written and created by,tt3348834
Mike Donald,also written by,tt4977522
Erle Stanley Gardner,characters,tt0102659
Tiziano Cortini,adaptation,tt0206381
Georges Friedland,adaptation,tt0206381
Marius Lesoeur,adaptation,tt0206381
Marius Lesoeur,original idea,tt0206381
Jim Warner,script,tt0418579
John Croydon,screenplay,tt0052805
Charles F. Vetter,screenplay,tt0052805
Wyott Ordung,story,tt0052805
Keith Provost,story,tt1577072
Jim Ryan,story,tt0062386
Kai Kevin Huang,screenplay,tt1339145
Hui Zhu,screenplay,tt1339145
Tom Adrales,screenplay,tt1063633
Paul Bartel,story,tt0098261
Bruce Wagner,story,tt0098261
Bruce Wagner,screenplay,tt0098261
Grover Jones,story,tt0019252
Gilbert Pratt,story,tt0019252
Grover Jones,scenario,tt0019252
Gilbert Pratt,scenario,tt0019252
George Marion Jr.,titles,tt0019252
Otfried Preußler,novel,tt0772181
Cecilia Quílez,story,tt4698490
Bronson Howard,adaptation,tt0003655
Bronson Howard,play,tt0003655
Herbert Brenon,scenario,tt0343829
Tom Morrison,story,tt0153469
Francesco Balletta,story and screenplay,tt1909279
Roi Cooper Megrue,adapted from David Belasco's famous comedy by,tt0016332
Clyde Bruckman,screen version,tt0016332
Jean C. Havez,screen version,tt0016332
Joseph A. Mitchell,screen version,tt0016332
Jean-Louis Milesi,scenario and dialogue,tt0996956
Robert Guédiguian,scenario and dialogue,tt0996956
Na Liu,idea,tt6114272
Robert Emmett Tansey,story,tt0032129
Robert Emmett Tansey,screenplay,tt0032129
Diane Cailhier,screenplay,tt0407230
Germaine Guèvremont,book,tt0407230
Yûzô Asahara,screenplay,tt2653264
Michio Kashiwada,screenplay,tt2653264
Yukiko Yamamuro,screenplay,tt2653264
Christian Ford,teleplay,tt0478073
Roger Soffer,teleplay,tt0478073
Bill Thumm,teleplay,tt0478073
Christian Ford,story,tt0478073
Roger Soffer,story,tt0478073
Veranice Berry,story,tt2112221
DeAndre Clarke,story,tt2112221
Casondra Davis,story,tt2112221
Megan Hartman,story,tt2112221
Rose Hill,story,tt2112221
Mac Hines,story,tt2112221
Greg Van Cott,story,tt2112221
John Rowden,treatment,tt4865190
Olive Cooper,screenplay,tt0036075
J. Benton Cheney,screenplay,tt0036075
Hal Long,original story,tt0036075
George Sluizer,additional dialogue,tt0117083
Carlos da Silva,screenplay,tt0117083
Carlos da Silva,story,tt0117083
Kevin Lucero Less,screenplay,tt5934970
Phil Less,story,tt5934970
Paul Thomas Anderson,written for the screen by,tt0469494
Upton Sinclair,novel,tt0469494
Robert Vernon,story,tt0415478
Phil Lollar,radio series,tt0415478
Steve Harris,radio series,tt0415478
Arnold Belgard,story,tt0058350
David DaLie,story,tt0058350
Henry Kolker,story,tt1258973
Mikhail Tank,creator,tt2769792
Alexandre Dumas père,novel,tt1608166
Carlos Franz,novel,tt0285683
Kelly McKinney,screenplay,tt5497472
Raymond To,screenplay,tt0090363
Francis Carco,story,tt0160637
Helmut Ballot,novel,tt2113644
Simon Hauschild,lecture,tt2113644
Anna Grey,story,tt5529226
Sylvia Wickham,novel,tt0219104
Guido Malatesta,story,tt0057343
David A. Goodman,screenplay,tt1595842
Lucas Cruikshank,"character """"Fred Figglehorn""""",tt1595842
Agnes Christine Johnston,scenario,tt0157543
John Youmans,collaborating writer,tt6588172
Ricky Johnson,story,tt1632556
Woon-sa Han,novel,tt0226533
Francis Posadas,screenplay,tt0357314
Francis Posadas,story,tt0357314
Sheldon Leonard,story,tt0038077
Christopher Lofton,story,tt0104612
Christopher Lofton,teleplay,tt0104612
John Miglis,teleplay,tt0104612
Charles Robert Carner,teleplay,tt0104612
Yann Brion,scenario,tt4117206
Frédéric Schoendoerffer,scenario,tt4117206
Carlos José Reyes,story,tt0194326
Pepe Sánchez,story,tt0194326
Dalton Sandifer,story,tt0151225
Chris R. Notarile,script,tt1764662
I.A.R. Wylie,story,tt0046446
Jackson Gregory,novel,tt0010703
Aleksandr Rodionov,screenplay,tt2650954
Boris Khlebnikov,screenplay,tt2650954
John W. Dunn,story,tt0148186
Johan Bergman Lindfors,screenplay,tt0312994
Reza Parsa,screenplay,tt0312994
Sheridan Le Fanu,"story ""The Room in the 'Dragon Volant'""",tt0077567
N. Adalyan,stories,tt0273990
Lucy Payton,from the story by,tt0007558
Franklin Hall,from the story by,tt0007558
Emma Bell Clifton,story,tt1225846
Pann Murujaiyan,story,tt2388946
Wilfrido Nolledo,story & screenplay,tt2097915
Ophelia San Juan,story & screenplay,tt2097915
James Ashmore Creelman,based on the {1933} screenplay,tt0074751
Ruth Rose,based on the {1933} screenplay,tt0074751
Merian C. Cooper,from an idea conceived by,tt0074751
Edgar Wallace,from an idea conceived by,tt0074751
Lorenzo Semple Jr.,screenplay,tt0074751
Lamont Magee,additional material,tt1954204
Bijesh Jayarajan,screenplay,tt0473684
Faizal Akhtar,screenplay,tt0473684
Faizal Akhtar,dialogue,tt0473684
Bijesh Jayarajan,dialogue,tt0473684
David Gabriel,script collaborator,tt1381733
Raphaëlle Desplechin,adaptation,tt1415874
Stéphane Giusti,scenario,tt1415874
Frank Nicotra,original idea by,tt1415874
Régis Wargnier,scenario,tt1415874
H.P. Lovecraft,inspired by the works of,tt1964785
Camille de Galbert,story,tt0951336
Wesley Ruggles,story,tt0021615
Howard Estabrook,adaptation,tt0021615
Charles Klein,play,tt0010415
Jason Reich,associate writer,tt0422061
Bill Naughton,screenplay,tt0066401
Bill Naughton,play,tt0066401
Adam King,story,tt1486568
Kylie Skelton,story,tt1486568
Ryan Wilson,story,tt1486568
Raghuvir Shekhawat,dialogue,tt0995718
Arthur Bernède,novel,tt0214529
Stelios Kouloglou,story,tt4682712
Filippos Vokotopoulos,scenario & adaptation,tt4682712
Karen DeWolf,original story and screenplay,tt0043130
Jack Roberts,original story and screenplay,tt0043130
David Swift,original story,tt0126049
Cash Markman,story,tt1345908
Gordon Chan,characters,tt0108293
Barry Wong,characters,tt0108293
William Blair Morton Ferguson,scenario,tt0447031
Harry Essex,screenplay,tt0045920
Ray Bradbury,story,tt0045920
Friedrich Wolf,play,tt0042292
Yasushi Akimoto,novel,tt1077073
Satsuo Endô,adaptation,tt1077073
Daniel Turkiewicz,story,tt4387048
Luchino Visconti,story,tt0054248
Suso Cecchi D'Amico,story,tt0054248
Vasco Pratolini,story,tt0054248
Suso Cecchi D'Amico,screenplay and dialogue,tt0054248
Pasquale Festa Campanile,screenplay and dialogue,tt0054248
Massimo Franciosa,screenplay and dialogue,tt0054248
Enrico Medioli,screenplay and dialogue,tt0054248
Luchino Visconti,screenplay and dialogue,tt0054248
Giovanni Testori,"inspired by episodes in the novel ""Il ponte della Ghisolfa""",tt0054248
Mark A. Cummings,story,tt1606709
Ransom Riggs,based upon the novel written by,tt1935859
Jane Goldman,screenplay by,tt1935859
J.R. Bookwalter,story,tt0407556
Percy Higginson,story,tt0229327
Frank E. Woods,scenario,tt0229327
Paquito Toledo,screenplay,tt1139359
Felix Villar,story,tt1139359
Steve Lawson,teleplay,tt0093879
Norma Levinson,based on the novel by,tt0093879
Jeffrey Schenck,story,tt1343371
Peter Sullivan,story,tt1343371
Ivan Abramson,story,tt0009790
John R. Corts,story,tt0246937
Bud Fisher,comic strip Mutt and Jeff,tt0009298
Saburo Yatsude,story,tt1567735
Yasuko Kobayashi,screenplay,tt1567735
Roy L. McCardell,story,tt0008314
A. Van Buren Powell,scenario,tt0008314
Sven Nordqvist,characters,tt2091947
Thomas Springer,screenplay,tt2091947
Eliane Carneiro Ribeiro,story,tt1352393
Heloisa Schurmann,story,tt1352393
Gabriela Tocchio,story,tt1352393
Rudyard Kipling,book,tt0144262
Jose Rivera,teleplay,tt0144262
Jim Herzfeld,teleplay,tt0144262
Carl Meyer,story,tt0149761
Jack Mercer,story,tt0149761
Sa Hsiao,novel,tt5091018
Robert Z. Leonard,scenario,tt0006946
Hans Fallada,novel,tt0024226
Miroslav Sovják,story,tt0819845
Jûgatsu Toi,based on the novel by,tt0083609
Carolina Invernizio,novel,tt0071183
Lewis John Carlino,screenplay,tt0070189
Gay Talese,book,tt0070189
James Glossman,screenplay,tt1353020
Fyodor Dostoevsky,novel,tt1080716
Evald Schorm,stage adaptation,tt1080716
Michael M. Kadrie,creator,tt2522282
Ayhan Robert Ulke,creator,tt2522282
Jon Hassler,novel,tt0100063
Ron Cowen,teleplay,tt0100063
Daniel Lipman,teleplay,tt0100063
C.A. Frambers,story,tt0467337
W.R. Burnett,novel,tt0025034
Ralph Block,screenplay,tt0025034
Brown Holmes,screenplay,tt0025034
Willard Wiener,novel,tt0127562
Tam Le,story,tt2260998
Walter Lodes III,story,tt1772356
Edward D. Wood Jr.,novel,tt0067479
Edward D. Wood Jr.,screenplay,tt0067479
Anthony Shaffer,screenplay,tt0083908
Karl Alexander,story,tt0080025
Steve Hayes,story,tt0080025
Nicholas Meyer,screenplay,tt0080025
Nasrina Khan,story,tt5536254
Norman Krasna,play,tt0041526
Sanora Bartels,script supervisor,tt5831860
Gareth Dunnet Alcocer,script consultant,tt5831860
Owen Davis,play,tt0013876
Hans Christian Andersen,story,tt0354806
Ernesto Sábato,novel,tt0244706
Joseph Conrad,novel,tt1981643
Tony Giglio,screenplay,tt1981643
Branden R. Morgan,screenplay,tt1981643
Josh Argonza,"based on the novel ""Bloody Crayons""",tt4631100
Enrico C. Santos,story,tt4631100
Kenneth Lim Dagatan,story,tt4631100
Carmel Josine Jacomille,story,tt4631100
Justine Reyes De Jesus,story,tt4631100
Rogelio Panahon Jr.,story,tt4631100
John Paul Abellera,story,tt4631100
Enrico C. Santos,screenplay,tt4631100
Kenneth Lim Dagatan,screenplay,tt4631100
Carmel Josine Jacomille,screenplay,tt4631100
Justine Reyes De Jesus,screenplay,tt4631100
Rogelio Panahon Jr.,screenplay,tt4631100
John Paul Abellera,screenplay,tt4631100
Jane Milmore,written & created by,tt1529560
Billy Van Zandt,written & created by,tt1529560
Hetty Baynes,segment,tt0117827
Jonathan Brett,segment,tt0117827
Bob Rafelson,segment,tt0117827
Ken Russell,segment,tt0117827
Heather Biggins,additional writer,tt1534784
Jan Eichberg,screenplay,tt1371580
Jan Eichberg,story,tt1371580
Marc Rühl,story,tt1371580
Wilson Collison,story,tt0032017
Philip G. Epstein,screenplay,tt0032017
Ken Englund,screenplay,tt0032017
James Edward Grant,screenplay,tt0032017
Gladys Lehman,play,tt0032017
Adriana Montenegro,Spanish language screenplay,tt0417973
Arthur Conan Doyle,story,tt0250988
Patrick Cargill,screenplay,tt1472154
Brian Cooke,screenplay,tt1472154
Peter Dulay,screenplay,tt1472154
Johnnie Mortimer,screenplay,tt1472154
William G. Stewart,screenplay,tt1472154
Nikki Keown,story,tt2466340
Lewis Helmer Herman,story,tt0299112
William Sackheim,screenplay,tt0299112
Rina Fernandez,story,tt5476066
Lester Cole,screenplay,tt0030726
Thomas Lennon,screenplay,tt0030726
Quentin Reynolds,"story ""West Side Miracle""",tt0030726
John McLeish,story,tt0147277
James Tumminia,story,tt3717448
Masanori Morita,manga,tt1446151
Yoshihiro Izumi,screenplay,tt1446151
Adam Horowitz,created by,tt3698762
Edward Kitsis,created by,tt3698762
Steve Mulholland,narration written by,tt3698762
Evan M.M. Hibbard,story,tt5891106
Harvey Gates,scenario,tt0327854
Maie B. Havey,story,tt0327854
Ira Levin,novel,tt0063522
Roman Polanski,screenplay,tt0063522
Hu Hong,segment,tt0808399
Yao Meng,segment,tt0808399
Israel Horovitz,adaptation,tt0808399
Suketu Mehta,segment,tt0808399
Shunji Iwai,segment,tt0808399
Israel Horovitz,adaptation,tt0808399
Olivier Lécot,segment,tt0808399
Jeff Nathanson,segment,tt0808399
Xan Cassavetes,segment,tt0808399
Stephen Winter,segment,tt0808399
Anthony Minghella,segment,tt0808399
Natalie Portman,segment,tt0808399
Fatih Akin,segment,tt0808399
Joshua Marston,segment,tt0808399
Hall Powell,"transitions ""Randy Balsmeyer""",tt0808399
Israel Horovitz,"transitions ""Randy Balsmeyer""",tt0808399
Jim Strouse,"transitions ""Randy Balsmeyer""",tt0808399
Emmanuel Benbihy,concept,tt0808399
Móric Benyovszky,book,tt3387218
Csaba László Eröss,adaptation,tt3387218
Vilmos Radó,book,tt3387218
John McDermott,adaptation,tt0014542
James O'Hanlon,adaptation,tt0014542
Winchell Smith,play,tt0014542
Austin Strong,play,tt0014542
Abdel Fattah El-Said,screenplay,tt0207696
Abdel Fattah El-Said,story,tt0207696
Blake McCormick,creator,tt3551646
Daley Pearson,creator,tt3551646
Charles E. Roberts,screenplay,tt0038244
Oscar Brodney,original story,tt0038244
Diemo Kemmesies,scriptwriter,tt2168288
Sergio Donati,original story,tt0068423
Juan Bosch,script and dialogue,tt0068423
Fabio Piccioni,script and dialogue,tt0068423
Annie Bogart-Questel,based on a short story by,tt2041550
Stephen Corron,script,tt2041550
Chris Keaton,screenplay,tt2041550
Seth Kim,story,tt3790520
Etienne Essery,script and story consultant,tt5475022
Emperor Frederick Von Seidl,story,tt1351787
Bob Burden,comic book series,tt0132347
Pierre-Louis Alberti,story and screenplay,tt0073854
Giuliano Carnimeo,story,tt0073854
Gabriella Giustini,story and screenplay,tt0073854
Ugo Tucci,story,tt0073854
Jesse James Jackson Jr.,screenplay,tt5294984
Michael Peters,screenplay,tt0368928
Ashley Pardey,story,tt3175406
Elwyn Ambrose,story,tt0060702
Elwyn Ambrose,screenplay,tt0060702
Tony Grillo,developer,tt0400231
Michael Barrett,novel,tt0055963
Robin Estridge,screenplay,tt0055963
John Cleland,novel,tt0087237
Hiramus Merkin,screenplay,tt0146064
Dana Burnet,story,tt0011166
Reginald Wright Kauffman,novel,tt0017165
James Bell Smith,adaptation,tt0017165
James Bell Smith,screenplay,tt0017165
Fujio Akatsuka,manga,tt1818377
Masatoshi Yamaguchi,screenplay,tt1818377
Mika Ohmori,screenplay,tt1818377
Masahiro Fukuma,screenplay,tt1818377
Rui Otero,original idea,tt6017322
Pedro Cabral Santo,dialogue,tt6017322
Chetan Bhagat,novel,tt5474042
Tushar Hiranandani,screenplay,tt5474042
Ishita Moitra,dialogue,tt5474042
Peter Bracke,based on the book by,tt2396421
Hideshi Hino,comic,tt0780049
Seiji Tanigawa,screenplay,tt0780049
Naoteru Yamamoto,screenplay,tt0780049
Filippo Baracchi,screenplay,tt1527619
Cecilia Irene Massaggia,screenplay,tt1527619
Thomas Ahearn,story,tt0030158
F. Maury Grossman,story,tt0030158
Charles Grayson,screenplay,tt0030158
Harry Elfont,creator,tt2229033
Judy Greer,creator,tt2229033
Deborah Kaplan,creator,tt2229033
Michael Lanfield,story,tt4134790
Jennifer Lee,screenplay by,tt1620680
Jeff Stockwell,screenplay by,tt1620680
Madeleine L'Engle,based upon the novel by,tt1620680
Cornelius Shea,scenario,tt0005401
John H. Collins,scenario,tt0003588
Annie H. Donnell,story,tt0003588
Jean Aurenche,scenario,tt0046149
Jean Aurenche,dialogue,tt0046149
Jean Clouzot,dialogue,tt0046149
Yves Allégret,adaptation,tt0046149
Jean-Paul Sartre,"story ""Typhus""",tt0046149
Zirek,screenplay,tt1556007
Jack Mayer,story,tt1579327
Tony Gatlif,original screenplay and adaptation,tt0122082
Kits Hilaire,screenplay adaptation,tt0122082
Maigne Jaques,screenplay adaptation,tt0122082
Calder Johnstone,scenario,tt0799810
John Fleming Wilson,story,tt0799810
Stirling Belafonte,conceived and written by,tt0461897
Andrew Rass,additional dialogue,tt0461897
Henry Blankfort,original story,tt0036026
Henry Blankfort,screenplay,tt0036026
Wallace Sullivan,screenplay,tt0036026
Alain Rimbaud,screenplay,tt0153839
Darlene Dalmaceda,screenplay,tt3820632
Stephen J. Cannell,created by,tt0111008
Roy Huggins,created by,tt0111008
Ferenc Molnár,novel,tt0062164
Milos Macourek,story and screenplay,tt0125301
Václav Vorlícek,story and screenplay,tt0125301
Rich Wilkes,characters,tt0329774
Osamu Tezuka,story,tt0119406
Yoshio Takeuchi,screenplay,tt0119406
Beverly Butler,story,tt0360877
Cynthia L. Cooper,book,tt0178779
Sam Reese Sheppard,book,tt0178779
Adam Greenman,teleplay,tt0178779
Kurt Geltz,story,tt2204271
Favour Izuu Ezike,screenplay,tt1416805
Uchenna Mbunabo,story,tt1416805
Bill Peet,story,tt0055254
Dodie Smith,novel,tt0055254
Rumiko Iwasada,original novel,tt0991192
Sumino Kawashima,adaptation,tt0991192
Minoru Matsumoto,adaptation,tt0991192
Tetsu Maeda,adaptation,tt0991192
Malcolm Douglas,story,tt1139305
Milan Begovic,play,tt0184840
Sime Simatovic,adaptation,tt0184840
Joe Dearman,story,tt4032320
Gordon Chan,characters,tt0105534
Barry Wong,characters,tt0105534
Paul Salisbury,earlier screenplay,tt3296980
Bud Fisher,comic strip Mutt and Jeff,tt1824146
Sabir Khan,screenplay,tt1144804
Ishita Moitra,screenplay,tt1144804
Anvita Dutt Guptan,dialogue,tt1144804
Kiran Kotrial,screenplay,tt1144804
Subrata Sen,script,tt0369779
Subrata Sen,story,tt0369779
Carol Flint,teleplay,tt0294362
Thornton Wilder,play,tt0294362
Lewis Beach,play,tt0023380
Joseph L. Mankiewicz,screenplay,tt0023380
Joseph L. Mankiewicz,story,tt0023380
Brian Katkin,screenplay,tt0266613
Brian Katkin,story,tt0266613
Burnie Burns,screenplay,tt6730898
Daniel Fabelo,screenplay,tt6730898
Matt Hullum,screenplay,tt6730898
Isaac Ruth,story,tt3362714
Stefan Ahnhem,screenplay,tt0940780
Helene Tursten,novel,tt0940780
Bill Turner,story,tt0149688
Jack Ward,story,tt0149688
Matt Groening,created by,tt4042474
James L. Brooks,developed by,tt4042474
Matt Groening,developed by,tt4042474
Sam Simon,developed by,tt4042474
Noel Coward,play,tt4165556
Just Jaeckin,screenplay,tt0080793
Jean-Luc Voulfow,collaboration,tt0080793
Géza von Radványi,dialogue,tt0080793
King Vidor,scenario,tt0346986
Hiroshi Shinagawa,based on the novel by,tt1591638
Hiroshi Shinagawa,screenplay,tt1591638
Spottiswoode Aitken,story,tt0017940
Warren Lewis Allen,screenplay,tt3171472
Christos Tsiolkas,novel,tt2091880
George Terwilliger,story,tt0447147
Perry N. Vekroff,story,tt0127907
Jeanie Macpherson,story,tt0018054
Deane Taylor,original screenplay,tt0284075
Paul Morris,original screenplay,tt0284075
Fred Louf,original screenplay,tt0284075
Deane Taylor,original story,tt0284075
Judith Parker,screenplay,tt0073388
Judith Parker,story,tt0073388
Bess Meredyth,scenario,tt0323742
Cara Bamford,by,tt3627634
Richard F. Outcault,cartoon,tt0336089
Anthony Kilna,story,tt6072396
Raven Kilna,story,tt6072396
Cristopher R. Spencer,story,tt6072396
Edgar Franklin,story,tt0009392
Armine Avetikian,head writer,tt2137676
Chris Randall,story,tt2330458
Brenda Weisberg,screen play,tt0037593
Joseph Hoffman,screen play,tt0037593
Pearl S. Buck,novel,tt0037593
Philip Dunne,screenplay,tt0039391
Ring Lardner Jr.,screenplay,tt0039391
Jerome Cady,adaptation,tt0039391
Kathleen Winsor,novel,tt0039391
Hideki Sonoda,screenplay,tt3918368
Satoshi Tajiri,original concept,tt3918368
Junichi Masuda,original concept,tt3918368
Ken Sugimori,original concept,tt3918368
Emmanuel H. Borlaza,screenplay,tt0400226
Bernadette La Verne,story,tt0400226
Bombit Levant,story,tt0400226
Charles Brown,scenario,tt0433171
Pierre Couderc,scenario,tt0248474
Phil Dunham,scenario,tt0248474
Carl Laemmle Jr.,story,tt0248474
George H. Plympton,scenario,tt0248474
Rob Burnett,head writer,tt0285669
Philip O'Connor,devised by,tt4511410
Philip O'Connor,poem,tt4511410
George Seaton,screen play,tt0034273
Bess Meredyth,screen play,tt0034273
Hal Long,screen play,tt0034273
Samuel Hoffenstein,additional dialogue,tt0034273
Rudolph Lothar,based on a play by,tt0034273
Hans Adler,based on a play by,tt0034273
Jessie Ernst,adapted by,tt0034273
Hadrian Bolseni,screenplay,tt0125945
Ugo Moretti,screenplay,tt0125945
Eriprando Visconti,story,tt0048585
Stefan Zeromski,novel,tt0072919
Walerian Borowczyk,scenario,tt0072919
Eugene Ling,screenplay,tt0045705
Philip Stevenson,screenplay,tt0045705
Janet Stevenson,screenplay,tt0045705
Ladislas Fodor,story,tt0045705
Thomas J. Geraghty,screenplay,tt0027838
Ilya Ilf,novel,tt0027838
Anthony Kimmins,screenplay,tt0027838
Yevgeni Petrov,novel,tt0027838
Joey Silvera,developed by,tt2984368
J. Edward Hungerford,scenario,tt0433137
John Michael Hayes,screenplay,tt0049470
Charles Bennett,based on a story by,tt0049470
D.B. Wyndham-Lewis,based on a story by,tt0049470
Pascal Payant,story,tt1693792
John Greene,original screenplay,tt0053175
Phil Shuken,original screenplay,tt0053175
Reid Buckley,screenplay,tt0069457
Lluís Josep Comerón,screenplay,tt0069457
Jorge Illa,screenplay,tt0069457
Sam X. Abarbanel,screenplay,tt0069457
Sam X. Abarbanel,story,tt0069457
Ernest Kinoy,screenplay,tt0068323
Ernest Kinoy,story,tt0068323
Drake Walker,story,tt0068323
Daniel Celestina,head writer,tt1630516
W.C. Tuttle,story,tt0165959
Daniel F. Whitcomb,scenario,tt0165959
Tomás Svoboda,creator,tt2284750
Philip J. Girault,screenplay,tt1462476
Britain Rosenberg,additional dialogue,tt4682754
Amir Motlagh,story,tt2094747
Joseph F. Poland,story,tt0778110
James St. James,book,tt0320244
Lillian Howarth,story,tt0192448
Bud Fisher,comic strip,tt0003196
Bud Fisher,screenplay,tt0003196
Horace McCoy,screenplay,tt0034269
Lewis Meltzer,screenplay,tt0034269
Michael Blankfort,screenplay,tt0034269
Michael Blankfort,story,tt0034269
Lewis Meltzer,story,tt0034269
Garrett Simmons,creator,tt1249310
Horacio Quiroga,story,tt0208210
Tedd Pierce,story,tt0047181
Wilfred Lucas,screenplay,tt0015254
Wilfred Lucas,story,tt0015254
Eddie Moran,story,tt0189932
Cyrus Wood,story,tt0189932
Espen Andreassen,Norwegian Version Co-Writer,tt6151226
Elsa Marpeau,collaborating writer,tt7122834
Theodore Dreiser,novel,tt0043924
Patrick Kearney,play,tt0043924
Michael Wilson,screenplay,tt0043924
Harry Brown,screenplay,tt0043924
Nicolas Bedos,scenario and dialogue,tt1494717
Annick Le Goff,script consultant,tt1494717
Josef M. Velter,novel,tt0021903
Egon Eis,screenplay,tt0021903
Rudolph Cartier,screenplay,tt0021903
Michael Urak,dramatisation,tt0021903
O.A.C. Lund,story,tt0286721
Jong-bin Yun,screenplay,tt1233464
Victor Young,screenplay,tt2242522
Jacland Marmur,"newspaper story ""No Home of His Own""",tt0047405
Claire Coffee,creator,tt1501291
Ellie Knaus,creator,tt1501291
Gene K. Kim,story,tt2364661
Sanjay Sharma,story,tt1965237
Varun Sharma,story,tt1965237
Peter Timm,screenplay,tt1471171
Steffen Jürgens,concept,tt1841486
Daniel Steiner,concept,tt1841486
Doug Garske,creator,tt4411966
Marius Petipa,libretto,tt0910576
Crystal Shaw,short film,tt0157740
James Carrington,screenplay,tt1094661
Alice Ramsey,play,tt0009040
Ray Martinez,screenplay,tt3083892
Rob Reilly,story,tt3083892
Daniel Southwick,story,tt3083892
Peter Stone,"based on the motion picture ""Charade"" screenplay by",tt0270707
Jonathan Demme,screenplay,tt0270707
Steve Schmidt,screenplay,tt0270707
Peter Stone,screenplay,tt0270707
Jessica Bendinger,screenplay,tt0270707
William Shakespeare,play,tt0002031
Joseph Giardina,creator,tt4776646
Josh Lieberman,creator,tt4776646
Coningsby William Dawson,story,tt0028929
Sôji Shimada,based on the novel by,tt3409872
Sôji Shimada,story,tt3409872
Jason DeVan,story,tt3619130
Christopher Long,story,tt2364162
William Shakespeare,adaptation,tt5350854
Josh Peterson,story,tt2007458
David Serero,adaptation,tt4170902
Dale Wasserman,book,tt4170902
Gustave Flaubert,novel,tt0064713
Chip Lane,screenplay,tt3975752
Jeff Wood,novel,tt3975752
Kristian Wood,novel,tt3975752
Philip Gibbs,novel,tt0318723
Daniel Sheppard,story,tt1512714
Nikolai Nosov,books,tt0252112
Noah Johnson,collaborating writer,tt4953514
Colleen McCullough,novel,tt0117901
Melissa Cutlip,development,tt1075828
Wyatt Turner,screenplay,tt1504256
Jupiter J. Makins,screenplay,tt3384870
Amariah Olson,screenplay,tt3384870
Obin Olson,screenplay,tt3384870
Jason Williams,story,tt0099354
Tom Friedman,story,tt0099354
Dulany Ross Clements,screenplay,tt0099354
Léo Joannon,"story ""Alerte en Mediteranée""",tt0031205
Dudley Leslie,screenplay,tt0031205
Gennadi Cherkashin,screenplay,tt0296910
Boris Nebieridze,screenplay,tt0296910
Gabe Figueroa,story,tt4437638
Ted Pauly,creator,tt4553440
Melissa Silverman,creator,tt4553440
Duncan Ballantine,story,tt2235795
Peter Kirk,script,tt1731178
Peter Kirk,script,tt1731178
Wes Craven,characters,tt2030353
William Shakespeare,play,tt0038738
Noel Langley,play,tt0030644
Kyle Mumford,story,tt3395858
Jules Verne,"based on: ""Twenty Thousand Leagues Under the Sea"" by",tt0006333
Kelly Burke,story,tt1805373
Mike Stanley,story,tt1805373
Sheridan Le Fanu,poem,tt1254775
Oliver Levi-Malouf,story,tt3086190
D.G. Dumaraos,story & screenplay,tt0474753
Masashi Kishimoto,creator,tt2485620
Junki Takegami,screenplay,tt2485620
Maibelle Heikes Justice,scenario,tt0489121
Irwin Shaw,"story ""Then We Were Three""",tt0065094
Antanas Vienuolis,novel,tt4907828
Tom Gibson,scenario,tt0328867
William Warren Schoene,story,tt0328867
Dick Francis,novel,tt0097201
Yûji Nagamori,original story,tt4747354
Hisakatsu Kuroki,screenplay,tt4747354
Frank Lloyd,scenario,tt0006166
Frances H. Flaherty,original screenplay,tt0040550
Robert J. Flaherty,original screenplay,tt0040550
Maria Pacôme,play,tt1427253
H.M. Walker,titles,tt0010256
H.M. Walker,titles,tt0008752
Colette,novel,tt0099906
Carl Jackson,story,tt3732024
Efraiem Hanna,story,tt3067320
George Ade,story,tt0005281
Charles Chaplin,scenario,tt0175524
Langford Reed,titles,tt0175524
Michael Ingrams,script,tt1736615
George Marshall,scenario,tt0328307
Bob Kurtz,story,tt0059102
Gavin O'Connor,original story,tt3802576
Cliff Dorfman,original story,tt3802576
Ekta Pathak Malhotra,adapted screenplay,tt3802576
Siddharth,dialogue,tt3802576
