Rating,RatingSource,imdbID
 2.1/10, Internet Movie Database,tt1079967
 6.6/10, Internet Movie Database,tt0058751
 5.8/10, Internet Movie Database,tt0449984
 7.2/10, Internet Movie Database,tt2675914
85%, Rotten Tomatoes,tt2675914
 74/100, Metacritic,tt2675914
 7.5/10, Internet Movie Database,tt0053827
 8.5/10, Internet Movie Database,tt5957886
 8.4/10, Internet Movie Database,tt0241822
 5.1/10, Internet Movie Database,tt0335596
 5.8/10, Internet Movie Database,tt0052739
 7.4/10, Internet Movie Database,tt1052343
 7.5/10, Internet Movie Database,tt4779296
 6.7/10, Internet Movie Database,tt2879202
 6.1/10, Internet Movie Database,tt0069882
 7.6/10, Internet Movie Database,tt0387489
 5.1/10, Internet Movie Database,tt0117125
 7.5/10, Internet Movie Database,tt0166329
 7.3/10, Internet Movie Database,tt0392571
 7.7/10, Internet Movie Database,tt0054269
100%, Rotten Tomatoes,tt0054269
 7.9/10, Internet Movie Database,tt2395343
 6.2/10, Internet Movie Database,tt0088726
100%, Rotten Tomatoes,tt2023817
 7.0/10, Internet Movie Database,tt2994288
 7.6/10, Internet Movie Database,tt0188835
 6.5/10, Internet Movie Database,tt2405182
 6.6/10, Internet Movie Database,tt0075672
 5.3/10, Internet Movie Database,tt1209379
 5.8/10, Internet Movie Database,tt0078765
 6.3/10, Internet Movie Database,tt0450869
 7.1/10, Internet Movie Database,tt0434272
 8.0/10, Internet Movie Database,tt0430621
 6.3/10, Internet Movie Database,tt0065677
 5.1/10, Internet Movie Database,tt0105579
 7.5/10, Internet Movie Database,tt0258571
 2.5/10, Internet Movie Database,tt1965057
0%, Rotten Tomatoes,tt1965057
 5.9/10, Internet Movie Database,tt6227192
57%, Rotten Tomatoes,tt6227192
 4.6/10, Internet Movie Database,tt0144964
11%, Rotten Tomatoes,tt0144964
 21/100, Metacritic,tt0144964
 6.4/10, Internet Movie Database,tt0140718
 6.5/10, Internet Movie Database,tt0075629
 7.4/10, Internet Movie Database,tt0184664
 5.3/10, Internet Movie Database,tt0064911
 7.8/10, Internet Movie Database,tt0298466
 3.8/10, Internet Movie Database,tt0303995
 8.4/10, Internet Movie Database,tt2400375
 7.0/10, Internet Movie Database,tt0280366
 7.8/10, Internet Movie Database,tt3022320
 4.6/10, Internet Movie Database,tt0137842
 8.3/10, Internet Movie Database,tt0165964
 8.4/10, Internet Movie Database,tt1043424
 7.5/10, Internet Movie Database,tt2279071
 7.1/10, Internet Movie Database,tt0079368
 5.1/10, Internet Movie Database,tt0066205
 7.5/10, Internet Movie Database,tt1499679
 5.3/10, Internet Movie Database,tt0056435
 6.8/10, Internet Movie Database,tt1308661
 8.9/10, Internet Movie Database,tt2197947
 7.5/10, Internet Movie Database,tt3395118
 4.6/10, Internet Movie Database,tt0062205
 6.1/10, Internet Movie Database,tt0893593
 6.4/10, Internet Movie Database,tt0044755
 5.9/10, Internet Movie Database,tt3276632
 5.4/10, Internet Movie Database,tt3569118
 2.3/10, Internet Movie Database,tt0483779
 6.3/10, Internet Movie Database,tt5849982
 8.0/10, Internet Movie Database,tt0903643
 7.0/10, Internet Movie Database,tt4898914
 7.3/10, Internet Movie Database,tt0097015
 6.6/10, Internet Movie Database,tt2177212
 6.2/10, Internet Movie Database,tt0131873
 7.2/10, Internet Movie Database,tt0032888
 5.6/10, Internet Movie Database,tt0259255
 6.0/10, Internet Movie Database,tt0120323
23%, Rotten Tomatoes,tt0120323
83%, Rotten Tomatoes,tt7165238
 6.3/10, Internet Movie Database,tt0450423
 7.0/10, Internet Movie Database,tt0118926
64%, Rotten Tomatoes,tt0118926
 64/100, Metacritic,tt0118926
 4.3/10, Internet Movie Database,tt0133467
 8.8/10, Internet Movie Database,tt0352443
 8.0/10, Internet Movie Database,tt1446499
 4.7/10, Internet Movie Database,tt0814072
 4.1/10, Internet Movie Database,tt0110875
 7.2/10, Internet Movie Database,tt5281678
 6.4/10, Internet Movie Database,tt1382470
 5.5/10, Internet Movie Database,tt0036743
 6.0/10, Internet Movie Database,tt1235778
 5.2/10, Internet Movie Database,tt0435740
 3.0/10, Internet Movie Database,tt0126456
 5.3/10, Internet Movie Database,tt2825924
 5.7/10, Internet Movie Database,tt1774290
 6.2/10, Internet Movie Database,tt0090085
 8.1/10, Internet Movie Database,tt0044008
84%, Rotten Tomatoes,tt0044008
 5.7/10, Internet Movie Database,tt0819656
 5.9/10, Internet Movie Database,tt0121479
 8.2/10, Internet Movie Database,tt0307285
 6.2/10, Internet Movie Database,tt2571610
 6.4/10, Internet Movie Database,tt0032395
 6.7/10, Internet Movie Database,tt0141169
 5.8/10, Internet Movie Database,tt0051408
 6.2/10, Internet Movie Database,tt1672721
 6.2/10, Internet Movie Database,tt0816518
 6.7/10, Internet Movie Database,tt1057525
 6.9/10, Internet Movie Database,tt0091151
71%, Rotten Tomatoes,tt0091151
 5.1/10, Internet Movie Database,tt0284360
 8.2/10, Internet Movie Database,tt0436828
 7.3/10, Internet Movie Database,tt1443342
 7.8/10, Internet Movie Database,tt0252506
 7.0/10, Internet Movie Database,tt0365099
 7.2/10, Internet Movie Database,tt0057999
 7.4/10, Internet Movie Database,tt4307700
 8.4/10, Internet Movie Database,tt0852699
 7.9/10, Internet Movie Database,tt0302340
 5.8/10, Internet Movie Database,tt1328645
 6.7/10, Internet Movie Database,tt0022992
 6.2/10, Internet Movie Database,tt0381819
 5.6/10, Internet Movie Database,tt7210348
86%, Rotten Tomatoes,tt7210348
 6.1/10, Internet Movie Database,tt4594286
50%, Rotten Tomatoes,tt4594286
 8.4/10, Internet Movie Database,tt1178537
 6.7/10, Internet Movie Database,tt0408094
 7.2/10, Internet Movie Database,tt0418467
 7.2/10, Internet Movie Database,tt1470723
 9.2/10, Internet Movie Database,tt1291585
 7.6/10, Internet Movie Database,tt0118625
 8.1/10, Internet Movie Database,tt0457596
 5.1/10, Internet Movie Database,tt4150326
 6.5/10, Internet Movie Database,tt1033498
 7.3/10, Internet Movie Database,tt6293422
 6.6/10, Internet Movie Database,tt0404142
 6.9/10, Internet Movie Database,tt2093997
 7.1/10, Internet Movie Database,tt1177909
 6.3/10, Internet Movie Database,tt0107193
 7.2/10, Internet Movie Database,tt0104812
81%, Rotten Tomatoes,tt0104812
 7.0/10, Internet Movie Database,tt0029778
 7.4/10, Internet Movie Database,tt0489249
 7.4/10, Internet Movie Database,tt0099734
 6.0/10, Internet Movie Database,tt0015602
 6.7/10, Internet Movie Database,tt0261771
 6.8/10, Internet Movie Database,tt0014606
 5.8/10, Internet Movie Database,tt0244782
 6.0/10, Internet Movie Database,tt0056651
 5.2/10, Internet Movie Database,tt0368107
 5.2/10, Internet Movie Database,tt0284375
 6.5/10, Internet Movie Database,tt0174182
 5.0/10, Internet Movie Database,tt1988154
 6.1/10, Internet Movie Database,tt0218643
 7.2/10, Internet Movie Database,tt0815450
 5.5/10, Internet Movie Database,tt2251465
 5.2/10, Internet Movie Database,tt3214108
 6.0/10, Internet Movie Database,tt3014284
55%, Rotten Tomatoes,tt3014284
 55/100, Metacritic,tt3014284
 6.6/10, Internet Movie Database,tt0094334
 6.0/10, Internet Movie Database,tt0995749
 6.8/10, Internet Movie Database,tt0492473
 3.8/10, Internet Movie Database,tt3652098
 6.7/10, Internet Movie Database,tt1225738
 7.6/10, Internet Movie Database,tt0031447
 7.8/10, Internet Movie Database,tt2091980
 6.4/10, Internet Movie Database,tt5657452
 6.7/10, Internet Movie Database,tt1335980
 7.9/10, Internet Movie Database,tt0417507
 7.8/10, Internet Movie Database,tt0434110
 8.3/10, Internet Movie Database,tt0808461
 5.3/10, Internet Movie Database,tt0462351
 6.4/10, Internet Movie Database,tt1518814
 5.7/10, Internet Movie Database,tt1977920
 5.6/10, Internet Movie Database,tt7240562
 6.7/10, Internet Movie Database,tt1247666
 5.0/10, Internet Movie Database,tt0223248
 6.0/10, Internet Movie Database,tt0070433
 7.3/10, Internet Movie Database,tt2404237
 4.5/10, Internet Movie Database,tt1321869
8%, Rotten Tomatoes,tt1321869
 19/100, Metacritic,tt1321869
 5.4/10, Internet Movie Database,tt1095497
 5.9/10, Internet Movie Database,tt0048970
 8.2/10, Internet Movie Database,tt0135064
 7.3/10, Internet Movie Database,tt0060461
 9.0/10, Internet Movie Database,tt2636480
 7.1/10, Internet Movie Database,tt0479178
 5.4/10, Internet Movie Database,tt0051987
 2.8/10, Internet Movie Database,tt3496314
 7.1/10, Internet Movie Database,tt5138572
 5.3/10, Internet Movie Database,tt7482508
 5.4/10, Internet Movie Database,tt1283887
29%, Rotten Tomatoes,tt1283887
 33/100, Metacritic,tt1283887
 3.4/10, Internet Movie Database,tt2463524
 6.8/10, Internet Movie Database,tt0438054
 5.8/10, Internet Movie Database,tt2403875
 8.0/10, Internet Movie Database,tt1639859
 5.3/10, Internet Movie Database,tt0495036
37%, Rotten Tomatoes,tt0495036
 37/100, Metacritic,tt0495036
 5.5/10, Internet Movie Database,tt0375457
 7.2/10, Internet Movie Database,tt0499635
 7.6/10, Internet Movie Database,tt2221404
 5.9/10, Internet Movie Database,tt0420294
12%, Rotten Tomatoes,tt0420294
 30/100, Metacritic,tt0420294
 6.3/10, Internet Movie Database,tt5160928
80%, Rotten Tomatoes,tt5160928
 64/100, Metacritic,tt5160928
 7.2/10, Internet Movie Database,tt1475380
 7.0/10, Internet Movie Database,tt0030129
 4.8/10, Internet Movie Database,tt0099711
 7.3/10, Internet Movie Database,tt0382737
 7.8/10, Internet Movie Database,tt2294959
 5.8/10, Internet Movie Database,tt0486544
 5.4/10, Internet Movie Database,tt0245013
 5.2/10, Internet Movie Database,tt0088802
 8.4/10, Internet Movie Database,tt1844060
 7.0/10, Internet Movie Database,tt2815454
 7.3/10, Internet Movie Database,tt1352816
 6.3/10, Internet Movie Database,tt1484524
 7.8/10, Internet Movie Database,tt0795458
84%, Rotten Tomatoes,tt0795458
 67/100, Metacritic,tt0795458
 7.8/10, Internet Movie Database,tt2385856
 6.4/10, Internet Movie Database,tt0432260
69%, Rotten Tomatoes,tt0432260
 67/100, Metacritic,tt0432260
 5.9/10, Internet Movie Database,tt2378504
 4.1/10, Internet Movie Database,tt0395443
 5.7/10, Internet Movie Database,tt2504308
 4.5/10, Internet Movie Database,tt1535110
14%, Rotten Tomatoes,tt1535110
 35/100, Metacritic,tt1535110
 7.6/10, Internet Movie Database,tt0850684
 5.9/10, Internet Movie Database,tt2869728
13%, Rotten Tomatoes,tt2869728
 32/100, Metacritic,tt2869728
 6.2/10, Internet Movie Database,tt0099544
 6.7/10, Internet Movie Database,tt0201428
 7.2/10, Internet Movie Database,tt0135549
 7.0/10, Internet Movie Database,tt0101479
100%, Rotten Tomatoes,tt0101479
 7.4/10, Internet Movie Database,tt0049456
100%, Rotten Tomatoes,tt0049456
 7.4/10, Internet Movie Database,tt0474148
 5.2/10, Internet Movie Database,tt0098336
 4.6/10, Internet Movie Database,tt0246075
 7.7/10, Internet Movie Database,tt0386651
98%, Rotten Tomatoes,tt0386651
 77/100, Metacritic,tt0386651
 4.8/10, Internet Movie Database,tt0065762
 3.9/10, Internet Movie Database,tt0094079
 6.6/10, Internet Movie Database,tt1813332
 8.4/10, Internet Movie Database,tt4142468
 6.4/10, Internet Movie Database,tt0112571
73%, Rotten Tomatoes,tt0112571
 61/100, Metacritic,tt0112571
 6.3/10, Internet Movie Database,tt0304475
 8.5/10, Internet Movie Database,tt0243574
 7.3/10, Internet Movie Database,tt1991007
 7.2/10, Internet Movie Database,tt3824032
 8.4/10, Internet Movie Database,tt0245858
 6.5/10, Internet Movie Database,tt0489950
 7.6/10, Internet Movie Database,tt3062320
 7.7/10, Internet Movie Database,tt0323274
 7.8/10, Internet Movie Database,tt0168444
 6.2/10, Internet Movie Database,tt4946602
 5.6/10, Internet Movie Database,tt0486464
 7.4/10, Internet Movie Database,tt0274309
 85/100, Metacritic,tt0274309
 6.3/10, Internet Movie Database,tt0049189
75%, Rotten Tomatoes,tt0049189
 6.6/10, Internet Movie Database,tt1298650
32%, Rotten Tomatoes,tt1298650
 45/100, Metacritic,tt1298650
 6.2/10, Internet Movie Database,tt4713566
 1.6/10, Internet Movie Database,tt2255813
 4.7/10, Internet Movie Database,tt0171532
 6.2/10, Internet Movie Database,tt0134199
 7.1/10, Internet Movie Database,tt4054952
 4.0/10, Internet Movie Database,tt0319781
 6.6/10, Internet Movie Database,tt0036647
 6.4/10, Internet Movie Database,tt5852442
 7.3/10, Internet Movie Database,tt0479138
 5.2/10, Internet Movie Database,tt1723111
 6.3/10, Internet Movie Database,tt0094882
38%, Rotten Tomatoes,tt0094882
 6.9/10, Internet Movie Database,tt0277964
 6.7/10, Internet Movie Database,tt0053711
 6.4/10, Internet Movie Database,tt0079661
 7.3/10, Internet Movie Database,tt0051454
 7.8/10, Internet Movie Database,tt0026424
 7.0/10, Internet Movie Database,tt0439690
 8.1/10, Internet Movie Database,tt1160029
 6.8/10, Internet Movie Database,tt0378919
 5.9/10, Internet Movie Database,tt1621039
19%, Rotten Tomatoes,tt1621039
 38/100, Metacritic,tt1621039
 6.5/10, Internet Movie Database,tt1483419
 4.7/10, Internet Movie Database,tt0156841
19%, Rotten Tomatoes,tt0156841
 25/100, Metacritic,tt0156841
 5.6/10, Internet Movie Database,tt0344404
 7.3/10, Internet Movie Database,tt1188703
 5.5/10, Internet Movie Database,tt0060049
 3.1/10, Internet Movie Database,tt0061976
 6.2/10, Internet Movie Database,tt0122874
 7.9/10, Internet Movie Database,tt0288439
 9.1/10, Internet Movie Database,tt6051944
 9.8/10, Internet Movie Database,tt6946442
 5.2/10, Internet Movie Database,tt0076897
 5.5/10, Internet Movie Database,tt0185509
16%, Rotten Tomatoes,tt0185509
 8.4/10, Internet Movie Database,tt0391058
 6.7/10, Internet Movie Database,tt0069398
57%, Rotten Tomatoes,tt0069398
 3.5/10, Internet Movie Database,tt0421639
 7.8/10, Internet Movie Database,tt0046187
90%, Rotten Tomatoes,tt0046187
 7.2/10, Internet Movie Database,tt0361863
 7.6/10, Internet Movie Database,tt3550942
 6.1/10, Internet Movie Database,tt0386074
 6.8/10, Internet Movie Database,tt0272614
 6.9/10, Internet Movie Database,tt0071502
80%, Rotten Tomatoes,tt0071502
 7.2/10, Internet Movie Database,tt0342456
 8.4/10, Internet Movie Database,tt0118947
 7.9/10, Internet Movie Database,tt3620860
 7.8/10, Internet Movie Database,tt1050763
 4.4/10, Internet Movie Database,tt1160494
 6.3/10, Internet Movie Database,tt3967218
 5.5/10, Internet Movie Database,tt0269987
 5.9/10, Internet Movie Database,tt0102984
25%, Rotten Tomatoes,tt0102984
 5.7/10, Internet Movie Database,tt0308848
 5.1/10, Internet Movie Database,tt0305960
 7.7/10, Internet Movie Database,tt0772223
 4.5/10, Internet Movie Database,tt2133333
5%, Rotten Tomatoes,tt2133333
 34/100, Metacritic,tt2133333
 5.8/10, Internet Movie Database,tt0201946
 7.4/10, Internet Movie Database,tt1514822
 6.6/10, Internet Movie Database,tt0164174
 8.2/10, Internet Movie Database,tt6245710
 7.6/10, Internet Movie Database,tt3617032
 5.2/10, Internet Movie Database,tt0493443
 7.6/10, Internet Movie Database,tt2881764
 7.2/10, Internet Movie Database,tt0829294
 8.0/10, Internet Movie Database,tt2356962
 8.7/10, Internet Movie Database,tt0878662
 5.5/10, Internet Movie Database,tt0224149
 6.9/10, Internet Movie Database,tt1304569
 5.8/10, Internet Movie Database,tt0249683
 7.3/10, Internet Movie Database,tt0073092
100%, Rotten Tomatoes,tt0073092
 8.6/10, Internet Movie Database,tt0321517
 8.1/10, Internet Movie Database,tt2177318
 2.6/10, Internet Movie Database,tt0366842
 6.5/10, Internet Movie Database,tt0446343
 7.1/10, Internet Movie Database,tt0204715
 7.2/10, Internet Movie Database,tt0306424
 7.0/10, Internet Movie Database,tt0218611
 7.1/10, Internet Movie Database,tt0240641
86%, Rotten Tomatoes,tt0240641
 6.6/10, Internet Movie Database,tt2455402
 5.7/10, Internet Movie Database,tt0036830
 3.8/10, Internet Movie Database,tt0057876
 6.0/10, Internet Movie Database,tt1876230
 5.8/10, Internet Movie Database,tt0025982
 5.1/10, Internet Movie Database,tt4170810
 3.1/10, Internet Movie Database,tt0482542
 3.2/10, Internet Movie Database,tt0065832
17%, Rotten Tomatoes,tt0065832
 5.6/10, Internet Movie Database,tt3621242
 2.6/10, Internet Movie Database,tt0417136
 7.1/10, Internet Movie Database,tt0970192
 4.8/10, Internet Movie Database,tt0177246
 4.9/10, Internet Movie Database,tt0173620
 4.9/10, Internet Movie Database,tt2522290
 8.2/10, Internet Movie Database,tt0416478
 4.5/10, Internet Movie Database,tt0353272
 6.4/10, Internet Movie Database,tt0073733
 6.2/10, Internet Movie Database,tt0443483
 5.9/10, Internet Movie Database,tt2197893
 7.4/10, Internet Movie Database,tt5774450
64%, Rotten Tomatoes,tt5774450
 8.2/10, Internet Movie Database,tt1089749
 8.2/10, Internet Movie Database,tt0864688
 6.9/10, Internet Movie Database,tt0080663
 6.7/10, Internet Movie Database,tt0814115
 6.0/10, Internet Movie Database,tt2077719
 7.8/10, Internet Movie Database,tt0397038
 6.9/10, Internet Movie Database,tt1274736
 6.3/10, Internet Movie Database,tt1344877
 6.5/10, Internet Movie Database,tt1555084
 7.4/10, Internet Movie Database,tt0028387
 7.3/10, Internet Movie Database,tt1087904
 5.8/10, Internet Movie Database,tt0117886
 6.3/10, Internet Movie Database,tt1706679
 7.2/10, Internet Movie Database,tt1071228
 6.6/10, Internet Movie Database,tt0415099
 6.6/10, Internet Movie Database,tt2525062
 7.1/10, Internet Movie Database,tt0278142
 6.1/10, Internet Movie Database,tt0812253
 6.4/10, Internet Movie Database,tt0412887
 5.6/10, Internet Movie Database,tt1248956
